,questions
235,"Problem: This is the hard version of the problem. The difference between the versions is that in this version, there is no additional constraint on $$$m$$$. You can hack only if you solved all versions of this problem.

Recently, the instructors of ""T-generation"" needed to create a training contest. They were missing one problem, and there was not a single problem on graphs in the contest, so they came up with the following problem.

You are given a connected weighted undirected graph with $$$n$$$ vertices and $$$m$$$ edges, which does not contain self-loops or multiple edges.

There are $$$q$$$ queries of the form $$$(a, b, k)$$$: among all paths from vertex $$$a$$$ to vertex $$$b$$$, find the smallest $$$k$$$-th maximum weight of edges on the path$$$^{\dagger}$$$.

The instructors thought that the problem sounded very interesting, but there is one catch. They do not know how to solve it. Help them and solve the problem, as there are only a few hours left until the contest starts.

$$$^{\dagger}$$$ Let $$$w_1 \ge w_2 \ge \ldots \ge w_{h}$$$ be the weights of all edges in a path, in non-increasing order. The $$$k$$$-th maximum weight of the edges on this path is $$$w_{k}$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases. The description of the test cases follows.

The first line of each set of test case contains three integers $$$n, m$$$ and $$$q$$$ ($$$2 \le n \le 400$$$, $$$n - 1 \le m \le \frac{n \cdot (n - 1)}{2}$$$, $$$1 \le q \le 3 \cdot 10^5$$$) — the number of vertices, the number of edges, and the number of questions, respectively.

Each of the following $$$m$$$ lines of each set of test case contains three integers $$$v, u$$$ and $$$w$$$ ($$$1 \le v, u \le n$$$, $$$1 \le w \le 10^9$$$) — the ends of the next edge of the graph and its weight, respectively. It is guaranteed that the graph does not contain self-loops and multiple edges.

Each of the following $$$q$$$ lines of each set of test case contains three integers $$$a, b$$$ and $$$k$$$ ($$$1 \le a, b \le n$$$, $$$k \ge 1$$$) — the next question. It is guaranteed that any path from vertex $$$a$$$ to vertex $$$b$$$ contains at least $$$k$$$ edges.

It is guaranteed that the sum of the values of $$$n$$$ across all sets of test cases does not exceed $$$400$$$.

It is guaranteed that the sum of the values of $$$q$$$ across all sets of test cases does not exceed $$$3 \cdot 10^5$$$.

For each set of test case, output the answers to all questions.

Inputs:
3
4 4 2
1 2 2
2 4 2
1 3 4
3 4 1
1 4 2
2 3 1
6 7 3
1 2 10
2 3 3
3 4 9
4 5 2
5 6 1
2 4 10
4 6 10
1 6 3
1 6 2
2 4 1
11 17 10
1 4 5
1 3 19
1 2 10
3 2 13
4 5 1
4 6 11
3 5 9
3 6 18
2 7 17
5 8 15
5 10 8
6 9 4
7 10 20
7 8 16
8 11 3
9 11 6
10 11 14
3 11 1
3 11 3
1 11 1
1 11 4
1 11 3
8 2 2
10 4 1
3 9 2
3 9 1
6 7 3


Outputs:
1 2
2 9 9
11 3 11 1 3 10 8 4 11 4
"
236,"Problem: One day, the teachers of ""T-generation"" decided to instill discipline in the pupils, so they lined them up and made them calculate in order. There are a total of $$$n$$$ pupils, the height of the $$$i$$$-th pupil in line is $$$a_i$$$.

The line is comfortable, if for each $$$i$$$ from $$$1$$$ to $$$n - 1$$$, the following condition holds: $$$a_i \cdot 2 \ge a_{i + 1}$$$. Initially, the line is comfortable.

The teachers do not like that the maximum height in the line is too small, so they want to feed the pupils pizza. You know that when a pupil eats one pizza, their height increases by $$$1$$$. One pizza can only be eaten by only one pupil, but each pupil can eat an unlimited number of pizzas. It is important that after all the pupils have eaten their pizzas, the line is comfortable.

The teachers have $$$q$$$ options for how many pizzas they will order. For each option $$$k_i$$$, answer the question: what is the maximum height $$$\max(a_1, a_2, \ldots, a_n)$$$ that can be achieved if the pupils eat at most $$$k_i$$$ pizzas.

Input and Output Format:
Each test contains multiple test cases. The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases. The description of the test cases follows.

The first line of each set of test case contains two integers $$$n$$$ and $$$q$$$ ($$$1 \le n, q \le 5 \cdot 10^4$$$) — the number of pupils and the number of options for how many pizzas the teachers will order.

The second line of each set of test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the heights of the pupils.It is guaranteed that initially, the line is comfortable.

Each of the following $$$q$$$ lines of each set of input data contains one integer $$$k_i$$$ ($$$1 \le k_i \le 10^9$$$) — the next limit for how many pizzas the pupils can eat.

It is guaranteed that the sum of the values of $$$n$$$ across all sets of input data does not exceed $$$5 \cdot 10^4$$$.

It is guaranteed that the sum of the values of $$$q$$$ across all sets of input data does not exceed $$$5 \cdot 10^4$$$.

For each test case, for each limit for how many pizzas the pupils can eat, output the maximum value $$$\max(a_1, a_2, \ldots, a_n)$$$ that can be achieved while ensuring that the line is comfortable.

Inputs:
3
2 1
10 20
10
6 7
3 1 2 4 5 6
1
2
4
8
16
32
64
10 4
1 2 4 8 16 32 64 128 256 512
10
100
1000
10000


Outputs:
26
7 8 10 12 19 35 67
513 560 1011 10001
"
237,"Problem: Every Saturday, Alexander B., a teacher of parallel X, writes a secret message to Alexander G., a teacher of parallel B, in the evening. Since Alexander G. is giving a lecture at that time and the message is very important, Alexander B. has to write this message on an interactive online board.

The interactive online board is a grid consisting of $$$n$$$ rows and $$$m$$$ columns, where each cell is $$$1 \times 1$$$ in size. Some cells of this board are already filled in, and it is impossible to write a message in them; such cells are marked with the symbol ""."", while the remaining cells are called free and are marked with the symbol ""#"".

Let us introduce two characteristics of the online board:

- $$$s$$$ is the number of free cells.
- $$$p$$$ is the perimeter of the grid figure formed by the union of free cells.

Let $$$A$$$ be the set of free cells. Your goal is to find a set of cells $$$S \subseteq A$$$ that satisfies the following properties:

- $$$|S| \le \frac{1}{5} \cdot (s+p)$$$.
- Any cell from $$$A$$$ either lies in $$$S$$$ or shares a side with some cell from $$$S$$$.

We can show that at least one set $$$S$$$ satisfying these properties exists; you are required to find any suitable one.

Input and Output Format:
The first line contains the number $$$t$$$ ($$$1 \le t \le 80\,000$$$) — the number of test cases.

In the first line of each test case, the numbers $$$n$$$ and $$$m$$$ ($$$1 \le n, m \le 2 \cdot 10^6$$$) — the dimensions of the grid are given.

The following $$$n$$$ lines contain the description of the grid.

It is guaranteed that the sum of $$$n \cdot m$$$ across all test cases does not exceed $$$2 \cdot 10^6$$$.

For each test case, output $$$n$$$ lines consisting of $$$m$$$ symbols, where each symbol encodes the state of the cell:

- ""#"" — the cell is in $$$A$$$ but not in $$$S$$$;
- ""S"" — the cell is in both $$$A$$$ and $$$S$$$;
- ""."" — the cell is neither in $$$A$$$ nor in $$$S$$$.

Inputs:
3
3 3
.#.
###
.#.
2 6
######
######
3 7
###....
#.#.###
###....


Outputs:
.#.
#S#
.#.
S##S#S
##S#S#
#SS....
S.#.#S#
##S....
"
238,"Problem: There are very long classes in the T-Generation. In one day, you need to have time to analyze the training and thematic contests, give a lecture with new material, and, if possible, also hold a mini-seminar. Therefore, there is a break where students can go to drink coffee and chat with each other.

There are a total of $$$n+2$$$ coffee machines located in sequentially arranged rooms along a long corridor. The coffee machines are numbered from $$$0$$$ to $$$n+1$$$, and immediately after the break starts, there are $$$a_i$$$ students gathered around the $$$i$$$-th coffee machine.

The students are talking too loudly among themselves, and the teachers need to make a very important announcement. Therefore, they want to gather the maximum number of students around some single coffee machine. The teachers are too lazy to run around the corridors and gather the students, so they came up with a more sophisticated way to manipulate them:

- At any moment, the teachers can choose room $$$i$$$ ($$$1 \le i \le n$$$) and turn off the lights there;
- If there were $$$x$$$ students in that room, then after turning off the lights, $$$\lfloor \frac12 x \rfloor$$$ students will go to room $$$(i-1)$$$, and $$$\lfloor \frac12 x \rfloor$$$ other students will go to room $$$(i+1)$$$.
- If $$$x$$$ was odd, then one student remains in the same room.
- After that, the lights in room $$$i$$$ are turned back on.

The teachers have not yet decided where they will gather the students, so for each $$$i$$$ from $$$1$$$ to $$$n$$$, you should determine what is the maximum number of students that can be gathered around the $$$i$$$-th coffee machine.

The teachers can turn off the lights in any rooms at their discretion, in any order, possibly turning off the lights in the same room multiple times.

Note that the values of $$$a_0$$$ and $$$a_{n+1}$$$ do not affect the answer to the problem, so their values will not be given to you.

Input and Output Format:
The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10\,000$$$) — the number of test cases.

In the first line of each test case, there is an integer $$$n$$$ ($$$1 \le n \le 10^6$$$).

In the second line of each test case, there are integers $$$a_1, \ldots, a_n$$$ ($$$0 \le a_i \le 10^9$$$) — the number of students around coffee machines numbered $$$1, 2, \ldots, n$$$.

It is guaranteed that the sum of $$$n$$$ across all test cases does not exceed $$$10^6$$$.

For each test case, output $$$n$$$ integers $$$b_1, \ldots, b_n$$$, where $$$b_i$$$ is the maximum number of students that can be around coffee machines number $$$i$$$.

Inputs:
3
2
8 0
5
2 2 2 2 2
5
0 0 9 0 0


Outputs:
8 4 
4 5 4 5 4 
4 6 9 6 4 
"
239,"Problem: This is an interactive problem.

You are given an array $$$x_1, \ldots, x_n$$$ of integers from $$$1$$$ to $$$n$$$. The jury also has a fixed but hidden array $$$y_1, \ldots, y_n$$$ of integers from $$$1$$$ to $$$n$$$. The elements of array $$$y$$$ are unknown to you. Additionally, it is known that for all $$$i$$$, $$$x_i \neq y_i$$$, and all pairs $$$(x_i, y_i)$$$ are distinct.

The jury has secretly thought of one of two objects, and you need to determine which one it is:

- Object A: A directed graph with $$$n$$$ vertices numbered from $$$1$$$ to $$$n$$$, and with $$$n$$$ edges of the form $$$x_i \to y_i$$$.
- Object B: $$$n$$$ points on a coordinate plane. The $$$i$$$-th point has coordinates $$$(x_i, y_i)$$$.

To guess which object the jury has thought of, you can make queries. In one query, you must specify two numbers $$$i, j$$$ $$$(1 \leq i, j \leq n, i \neq j)$$$. In response, you receive one number:

- If the jury has thought of Object A, you receive the length of the shortest path (in edges) from vertex $$$i$$$ to vertex $$$j$$$ in the graph, or $$$0$$$ if there is no path.
- If the jury has thought of Object B, you receive the Manhattan distance between points $$$i$$$ and $$$j$$$, that is $$$|x_i -x_j| + |y_i - y_j|$$$.

You have $$$2$$$ queries to determine which of the objects the jury has thought of.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 1000$$$). The description of the test cases follows.

None

Inputs:
2
3
2 2 3
1 3 1
A
5
5 1 4 2 3
3 3 2 4 1
B


Outputs:
0
"
240,"Problem: We call a sequence $$$a_1, a_2, \ldots, a_n$$$ magical if for all $$$1 \leq i \leq n-1$$$ it holds that: $$$\operatorname{min}(a_1, \ldots, a_i) \geq \operatorname{mex}(a_{i+1}, \ldots, a_n)$$$. In particular, any sequence of length $$$1$$$ is considered magical.

The minimum excluded (MEX) of a collection of integers $$$a_1, a_2, \ldots, a_k$$$ is defined as the smallest non-negative integer $$$t$$$ which does not occur in the collection $$$a$$$.

You are given a sequence $$$a$$$ of $$$n$$$ non-negative integers. Find the maximum possible length of a magical subsequence$$$^{\text{∗}}$$$ of the sequence $$$a$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains an integer $$$n$$$ ($$$1 \leq n \leq 2 \cdot 10^5$$$) — the length of the sequence $$$a$$$.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$0 \leq a_i \leq 10^9$$$) — the elements of the sequence $$$a$$$.

It is guaranteed that the sum of $$$n$$$ across all test cases does not exceed $$$2 \cdot 10^5$$$.

For each test case, output a single number — the maximum possible length of a magical subsequence of the sequence $$$a$$$.

Inputs:
8
5
4 3 2 1 0
6
4 3 3 2 1 0
4
2 0 1 2
1
777
4
1000000000 1 7 9
2
0 1
2
1 2
4
0 1 0 1


Outputs:
5
5
3
1
4
2
2
3
"
241,"Problem: You are given an array $$$a_1, a_2, \ldots, a_n$$$. Also, you are given three variables $$$P,Q,R$$$, initially equal to zero.

You need to process all the numbers $$$a_1, a_2, \ldots, a_n$$$, in the order from $$$1$$$ to $$$n$$$. When processing the next $$$a_i$$$, you must perform exactly one of the three actions of your choice:

1. $$$P := P \oplus a_i$$$
2. $$$Q := Q \oplus a_i$$$
3. $$$R := R \oplus a_i$$$

$$$\oplus$$$ denotes the bitwise XOR operation.

When performing actions, you must follow the main rule: it is necessary that after each action, all three numbers $$$P,Q,R$$$ are not pairwise distinct.

There are a total of $$$3^n$$$ ways to perform all $$$n$$$ actions. How many of them do not violate the main rule? Since the answer can be quite large, find it modulo $$$10^9 + 7$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains an integer $$$n$$$ ($$$1 \le n \le 2 \cdot 10^5$$$) — the length of the array $$$a$$$.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the elements of the array $$$a$$$.

It is guaranteed that the sum of the values of $$$n$$$ for all test cases does not exceed $$$2 \cdot 10^5$$$.

For each test case, output the number of ways to perform all $$$n$$$ actions without violating the main rule, modulo $$$10^9 + 7$$$.

Inputs:
5
3
1 7 9
4
179 1 1 179
5
1 2 3 3 2
12
8 2 5 3 9 1 8 12 9 9 9 4
1
1000000000


Outputs:
3
9
39
123
3
"
242,"Problem: This is the easy version of the problem. The difference between the versions is that in this version, all $$$a_i = 0$$$. You can hack only if you solved all versions of this problem.

There is an $$$n$$$-story building, with floors numbered from $$$1$$$ to $$$n$$$ from bottom to top. There is exactly one person living on each floor.

All the residents of the building have a very important goal today: to launch at least $$$c$$$ paper airplanes collectively. The residents will launch the airplanes in turn. When a person from the $$$i$$$-th floor launches an airplane, all residents on the floors from $$$1$$$ to $$$i$$$ can see it as it descends to the ground.

If, from the perspective of the resident on the $$$i$$$-th floor, at least $$$c$$$ airplanes have already been launched, they will not launch any more airplanes themselves. It is also known that by the end of the day, from the perspective of each resident in the building, at least $$$c$$$ airplanes have been launched, and a total of $$$m$$$ airplanes were thrown.

You carefully monitored this flash mob and recorded which resident from which floor threw each airplane. Unfortunately, the information about who exactly threw some airplanes has been lost. Find the number of ways to fill in the gaps so that the information could be credible. Since the answer can be quite large, output it modulo $$$10^9 + 7$$$.

In this version of the problem, all information has been lost, and the entire array consists of gaps.

It is also possible that you made a mistake in your records, and there is no possible way to restore the gaps. In that case, the answer is considered to be $$$0$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains three integers $$$n, c, m$$$ ($$$1 \le n \le 100$$$, $$$1 \le c \le 100$$$, $$$c \le m \le n \cdot c$$$) — the number of floors in the building, the minimum required number of airplanes, and the number of airplanes actually launched.

The second line of each test case contains $$$m$$$ integers $$$a_1, a_2, \ldots, a_m$$$ ($$$0 \le a_i \le n$$$) — $$$a_i$$$ indicates the resident from which floor launched the $$$i$$$-th airplane; $$$a_i = 0$$$ indicates a gap.

In this version of the problem, it is guaranteed that all $$$a_i = 0$$$.

It is guaranteed that the sum of the values of $$$m$$$ across all test cases does not exceed $$$10^4$$$.

For each test case, output the number of ways to fill in the gaps with numbers from $$$1$$$ to $$$n$$$, so that the chronology of the airplane launches could be credible, modulo $$$10^9 + 7$$$.

Inputs:
2
3 2 4
0 0 0 0
5 5 7
0 0 0 0 0 0 0


Outputs:
6
190
"
243,"Problem: This is the hard version of the problem. The difference between the versions is that in this version, not necessary $$$a_i = 0$$$. You can hack only if you solved all versions of this problem.

There is a building with $$$n$$$ floors, numbered from $$$1$$$ to $$$n$$$ from bottom to top. There is exactly one person living on each floor.

All the residents of the building have an important goal today: to launch at least $$$c$$$ paper airplanes collectively. The residents will launch the airplanes in turn. When a person from the $$$i$$$-th floor launches an airplane, all residents on floors from $$$1$$$ to $$$i$$$ can see it as it descends to the ground. If, from the perspective of the resident on the $$$i$$$-th floor, at least $$$c$$$ airplanes have already been launched, they will no longer launch airplanes themselves. It is also known that by the end of the day, from the perspective of each resident in the building, at least $$$c$$$ airplanes have been launched, and a total of $$$m$$$ airplanes were thrown.

You have been carefully monitoring this flash mob, and for each airplane, you recorded which resident from which floor threw it. Unfortunately, the information about who exactly threw some of the airplanes has been lost. Find the number of ways to fill in the gaps so that the information could be credible. Since the answer could be quite large, output it modulo $$$10^9 + 7$$$.

It is also possible that you made a mistake in your records, and there is no possible way to restore the gaps. In that case, the answer is considered to be $$$0$$$.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 10^4$$$). The description of the test cases follows.

The first line of each test case contains three integers $$$n, c, m$$$ ($$$1 \le n \le 100$$$, $$$1 \le c \le 100$$$, $$$c \le m \le n \cdot c$$$) — the number of floors in the building, the minimum required number of airplanes, and the number of airplanes actually launched.

The second line of each test case contains $$$m$$$ integers $$$a_1, a_2, \ldots, a_m$$$ ($$$0 \le a_i \le n$$$) — $$$a_i$$$ indicates the resident from which floor launched the $$$i$$$-th airplane; $$$a_i = 0$$$ indicates a gap.

It is guaranteed that the sum of the values of $$$m$$$ across all test cases does not exceed $$$10^4$$$.

For each test case, output the number of ways to fill in the gaps with numbers from $$$1$$$ to $$$n$$$, so that the chronology of the airplane launches could be credible, modulo $$$10^9 + 7$$$.

Inputs:
8
3 2 4
0 0 0 0
5 5 7
0 0 0 0 0 0 0
6 1 3
2 0 0
2 3 5
0 0 1 0 2
3 3 4
3 3 3 0
2 1 2
0 1
2 1 2
0 2
5 3 12
0 0 1 0 2 4 0 0 0 5 0 5


Outputs:
6
190
3
2
0
0
1
14
"
244,"Problem: You have $$$n$$$ barrels of infinite capacity. The $$$i$$$-th barrel initially contains $$$a_i$$$ kilograms of water. In this problem, we assume that all barrels weigh the same.

You know that exactly one of the barrels has a small amount of tropical poison distributed on its surface, with a total weight of $$$0.179$$$ kilograms. However, you do not know which barrel contains the poison. Your task is to identify this poisonous barrel.

All the barrels are on scales. Unfortunately, the scales do not show the exact weight of each barrel. Instead, for each pair of barrels, they show the result of a comparison between the weights of those barrels. Thus, for any two barrels, you can determine whether their weights are equal, and if not, which barrel is heavier. The poison and water are included in the weight of the barrel.

The scales are always turned on, and the information from them can be used an unlimited number of times.

You also have the ability to pour water. You can pour water from any barrel into any other barrel in any amounts.

However, to pour water, you must physically handle the barrel from which you are pouring, so if that happens to be the poisonous barrel, you will die. This outcome must be avoided.

However, you can pour water into the poisonous barrel without touching it.

In other words, you can choose the numbers $$$i, j, x$$$ ($$$i \neq j, 1 \leq i, j \leq n, 0 < x \leq a_i$$$, the barrel numbered $$$i$$$ — not is poisonous) and execute $$$a_i := a_i - x$$$, $$$a_j := a_j + x$$$. Where $$$x$$$ is not necessarily an integer.

Is it possible to guarantee the identification of which barrel contains the poison and remain alive using pouring and the information from the scales? You know that the poison is located on exactly one of the barrels.

Additionally, we ask you to process $$$q$$$ queries. In each query, either one of the existing barrels is removed, or an additional barrel with a certain amount of water is added. After each query, you need to answer whether it is possible to guarantee the identification of the poisonous barrel, given that there is exactly one.

Input and Output Format:
The first line contains two integers $$$n$$$ and $$$q$$$ ($$$1 \le n, q \le 2 \cdot 10^5$$$).

The second line contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$1 \le a_i \le 10^6$$$) — the volumes of water in the existing barrels.

The next $$$q$$$ lines contain queries, one per line. Each query is either of the form + x or - x, which means, respectively, adding and removing a barrel with $$$x$$$ kilograms of water. It is guaranteed that when the query - x is made, one of the existing barrels has a volume of $$$x$$$, and that there is always at least one barrel remaining throughout the queries. In all queries, $$$1 \leq x \leq 10^6$$$.

Output $$$q+1$$$ lines, the answer to the problem before all queries, and after each query. If it is possible to identify the poisonous barrel, output ""Yes""; otherwise, output ""No"". You can output the answer in any case (upper or lower). For example, the strings ""yEs"", ""yes"", ""Yes"", and ""YES"" will be recognized as positive responses.

Inputs:
4 7
2 2 4 11
- 2
+ 4
+ 30
+ 40
- 4
+ 2
+ 2


Outputs:
Yes
No
Yes
No
Yes
No
No
Yes
"
245,"Problem: You are given two arrays of integers: $$$a_1, a_2, \ldots, a_n$$$ and $$$b_1, b_2, \ldots, b_m$$$.

You need to determine if it is possible to transform array $$$a$$$ into array $$$b$$$ using the following operation several (possibly, zero) times.

- Among all non-empty subarrays$$$^{\text{∗}}$$$ of $$$a$$$, choose any with the maximum sum, and replace this subarray with an arbitrary non-empty integer array.

If it is possible, you need to construct any possible sequence of operations. Constraint: in your answer, the sum of the lengths of the arrays used as replacements must not exceed $$$n + m$$$ across all operations. The numbers must not exceed $$$10^9$$$ in absolute value.

Input and Output Format:
Each test contains multiple test cases. The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 200$$$). The description of the test cases follows.

The first line of each test case contains two integers $$$n, m$$$ ($$$1 \le n, m \le 500$$$) — the lengths of arrays $$$a$$$ and $$$b$$$.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$-10^6 \le a_i \le 10^6$$$) — the elements of array $$$a$$$.

The third line of each test case contains $$$m$$$ integers $$$b_1, b_2, \ldots, b_m$$$ ($$$-10^6 \le b_i \le 10^6$$$) — the elements of array $$$b$$$.

It is guaranteed that the sum of the values of $$$n$$$ across all test cases does not exceed $$$500$$$.

It is guaranteed that the sum of the values of $$$m$$$ across all test cases does not exceed $$$500$$$.

For each test case, output $$$-1$$$ if it is impossible to transform array $$$a$$$ into array $$$b$$$.

Otherwise, in the first line, output the number of operations $$$0 \leq q \leq n + m$$$. Then output the operations in the following format in the order they are performed.

In the first line of each operation, print three numbers $$$l, r, k$$$ ($$$1 \leq l \leq r \leq |a|$$$). In the second line, print $$$k$$$ integers $$$c_1 \ldots c_k$$$, which means replacing the segment $$$a_l, \ldots, a_r$$$ with the array $$$c_1, \ldots, c_k$$$.

The sum of $$$k$$$ across all $$$q$$$ operations must not exceed $$$n + m$$$. Additionally, it must hold that $$$-10^9 \leq c_i \leq 10^9$$$.

You do not need to minimize the number of operations.

Inputs:
3
4 3
2 -3 2 0
-3 -7 0
2 1
-2 -2
2
5 4
-5 9 -3 5 -9
-6 6 -1 -9


Outputs:
6
3 4 1
-3 
1 1 1
-3 
2 2 1
-3 
2 2 1
-7 
1 1 1
-3 
3 3 1
0 
-1
4
2 4 1
-5 
1 1 1
-5 
1 1 1
-6 
2 2 2
6 -1 
"
246,"Problem: Consider a set of points on a line. The distance between two points $$$i$$$ and $$$j$$$ is $$$|i - j|$$$.

The point $$$i$$$ from the set is the closest to the point $$$j$$$ from the set, if there is no other point $$$k$$$ in the set such that the distance from $$$j$$$ to $$$k$$$ is strictly less than the distance from $$$j$$$ to $$$i$$$. In other words, all other points from the set have distance to $$$j$$$ greater or equal to $$$|i - j|$$$.

For example, consider a set of points $$$\{1, 3, 5, 8\}$$$:

- for the point $$$1$$$, the closest point is $$$3$$$ (other points have distance greater than $$$|1-3| = 2$$$);
- for the point $$$3$$$, there are two closest points: $$$1$$$ and $$$5$$$;
- for the point $$$5$$$, the closest point is $$$3$$$ (but not $$$8$$$, since its distance is greater than $$$|3-5|$$$);
- for the point $$$8$$$, the closest point is $$$5$$$.

You are given a set of points. You have to add an integer point into this set in such a way that it is different from every existing point in the set, and it becomes the closest point to every point in the set. Is it possible?

Input and Output Format:
The first line contains one integer $$$t$$$ ($$$1 \le t \le 1000$$$) — the number of test cases.

Each test case consists of two lines:

- the first line contains one integer $$$n$$$ ($$$2 \le n \le 40$$$) — the number of points in the set;
- the second line contains $$$n$$$ integers $$$x_1, x_2, \dots, x_n$$$ ($$$1 \le x_1 < x_2 < \dots < x_n \le 100$$$) — the points from the set.

For each test case, print YES if it is possible to add a new point according to the conditions from the statement. Otherwise, print NO.

Inputs:
3
2
3 8
2
5 6
6
1 2 3 4 5 10


Outputs:
YES
NO
NO
"
247,"Problem: There are $$$100$$$ rooms arranged in a row and $$$99$$$ doors between them; the $$$i$$$-th door connects rooms $$$i$$$ and $$$i+1$$$. Each door can be either locked or unlocked. Initially, all doors are unlocked.

We say that room $$$x$$$ is reachable from room $$$y$$$ if all doors between them are unlocked.

You know that:

- Alice is in some room from the segment $$$[l, r]$$$;
- Bob is in some room from the segment $$$[L, R]$$$;
- Alice and Bob are in different rooms.

However, you don't know the exact rooms they are in.

You don't want Alice and Bob to be able to reach each other, so you are going to lock some doors to prevent that. What's the smallest number of doors you have to lock so that Alice and Bob cannot meet, regardless of their starting positions inside the given segments?

Input and Output Format:
The first line contains a single integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.

The first line of each test case contains two integers $$$l$$$ and $$$r$$$ ($$$1 \le l < r \le 100$$$) — the bounds of the segment of rooms where Alice is located.

The second line of each test case contains two integers $$$L$$$ and $$$R$$$ ($$$1 \le L < R \le 100$$$) — the bounds of the segment of rooms where Bob is located.

For each test case, print a single integer — the smallest number of doors you have to lock so that Alice and Bob cannot meet, regardless of their starting positions inside the given segments.

Inputs:
4
1 2
3 4
2 5
2 5
3 7
6 7
4 5
2 8


Outputs:
1
3
2
3
"
248,"Problem: Alice and Bob have $$$n$$$ items they'd like to split between them, so they decided to play a game. All items have a cost, and the $$$i$$$-th item costs $$$a_i$$$. Players move in turns starting from Alice.

In each turn, the player chooses one of the remaining items and takes it. The game goes on until no items are left.

Let's say that $$$A$$$ is the total cost of items taken by Alice and $$$B$$$ is the total cost of Bob's items. The resulting score of the game then will be equal to $$$A - B$$$.

Alice wants to maximize the score, while Bob wants to minimize it. Both Alice and Bob will play optimally.

But the game will take place tomorrow, so today Bob can modify the costs a little. He can increase the costs $$$a_i$$$ of several (possibly none or all) items by an integer value (possibly, by the same value or by different values for each item). However, the total increase must be less than or equal to $$$k$$$. Otherwise, Alice may suspect something. Note that Bob can't decrease costs, only increase.

What is the minimum possible score Bob can achieve?

Input and Output Format:
The first line contains a single integer $$$t$$$ ($$$1 \le t \le 5000$$$) — the number of test cases. Then $$$t$$$ cases follow.

The first line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$2 \le n \le 2 \cdot 10^5$$$; $$$0 \le k \le 10^9$$$) — the number of items and the maximum total increase Bob can make.

The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the initial costs of the items.

It's guaranteed that the sum of $$$n$$$ over all test cases doesn't exceed $$$2 \cdot 10^5$$$.

For each test case, print a single integer — the minimum possible score $$$A - B$$$ after Bob increases the costs of several (possibly none or all) items.

Inputs:
4
2 5
1 10
3 0
10 15 12
4 6
3 1 2 4
2 4
6 9


Outputs:
4
13
0
0
"
